name,location,rooms,area,floor,type,price
Dezvoltator LUXURIA DOMENII Residence - 3 camere,"Bucuresti, Sector 1, zona Domenii (1 Mai)",3,82, 4/11,Dec.,227.700
PROMO -TITAN 4 RESIDENCE III - 2 CAMERE - STUDIO - direct dezvoltator - AVANS 5%,"Bucuresti, Sector 3, zona Titan",2,47, 2/3,Semidec.,60.900
LUXURIA DOMENII RESIDENCE - APARTAMENT 3 camere plus office,"Bucuresti, Sector 1, zona Domenii (1 Mai)",4,100, 1/12,Dec.,260.000
"2 camere calduroase cu centrala la 9 min de metrou Gorjului, Lujerului, Militari","Bucuresti, Sector 6, zona Militari",2,49, 5/8,Dec.,69.500
Apartament 2 camere | 2 locuri parcare subteran | Comision 0,"Bucuresti, zona Sisesti (Baneasa)",2,66.65, 4/5,Dec.,135.000
FINALIZAT | Apartamente 2 Camere | Prelungirea Ghencea | Cartierul Latin,"Bragadiru, zona Ultracentral",2,49.6, 2/2,Dec.,59.600
Dezvoltator Apartament 2 Camere Decomandat Bld. Timisoara Jysk Penny Moinesti,"Bucuresti, Sector 6, zona Militari",2,50, 2/11,Dec.,79.900
"TITAN 4 RESIDENCE, APT 2CAM CU/FARA GRADINA PRIVATA-DIRECT DEZVOLTATOR, AVANS 5%","Bucuresti, Sector 3, zona Titan",2,74,Parter/3,Dec.,87.100
VANZARE 2 CAMERE// ONE LAKE CLUB// DIRECT DEZVOLTATOR,"Bucuresti, Sector 2, zona Pipera",2,52, 1/10,Semidec.,159.800
Cartierul Solar - Mobilat - Utilat - Panouri Fotovoltaice,"Bucuresti, Sector 4, zona Berceni",2,60, 1/5,Dec.,75.000
2 Camere Lux Brancoveanu Parcare inclusa Tva inclus !!!,"Bucuresti, Sector 4, zona Brâncoveanu (Berceni)",2,54, 1/7,Semidec.,80.000
"PROMO TITAN 4 RESIDENCE  III,DEZVOLTATOR DIRECT, APARTAMENTE 2 CAMERE , AVANS 5%","Bucuresti, Sector 3, zona Titan",2,55, 2/3,Dec.,73.800
Apartament 3 Camere 2 Bai Boxa Lux Dorobanti,"Bucuresti, zona Dorobanţi (Dorobanti)",3,73, 1/4,Dec.,215.000
Penthouse Superb | Pipera | Comision 0%,"Bucuresti, zona Pipera",4,359, 8/8,Dec.,349.000
Dezvoltator Apartament de vânzare 2 camere,"Bucuresti, Sector 1, zona Bucurestii Noi (Bucurestii Noi)",2,52, 1/4,Dec.,99.000
GARSONIERA DECOMANDATA BUCATARIE INCHISA OFERTA PROMOTIONALA!,"Bucuresti, Sector 6, zona Militari",o,30, 1/5,Dec.,29.900
"RATE LA DEZVOLTATOR doar cu buletinul, pe 5 ani, cu avans de 40%","Bucuresti, Sector 6, zona Drumul Taberei",2,65, 2, 2,42.800
"OFERTĂ  Bloc finalizat lângă metrou, predare rapidă. Direct dezvoltator","Bucuresti, Sector 3, zona Theodor Pallady (Titan)",2,55, 1/8,Dec.,70.528
CORTINA NORTH|Locatie premium|Facilitati unice|Design Modern|Faza 2|Comision 0%,"Bucuresti, Sector 1, zona Pipera",3,76.1, 3/10,Dec.,143.055
VANZARE APARTAMENTE 2 CAMERE DECOMANDAT|INCALZIRE IN PARDOSEALA,"Bucuresti, Sector 3, zona Theodor Pallady (Titan)",2,69, 3/11,Dec.,99.990
"Dezvoltator Apartament 2 camere decomandat, Sector 1 - Lacul Straulesti, Model 2D1'","Bucuresti, Sector 1, zona Bucurestii Noi (Bucurestii Noi)",2,54, 6/6,Dec.,91.924
"2 camere,  bucatarie inchisa, parc pentru copii, transport in comun","Otopeni, zona Est",2,76.4, 2,Dec.,74.000
Direct dezvoltator / vanzare 2 camere/ One Cotroceni Park,"Bucuresti, Sector 5, zona Drumul Taberei",2,50.9, 3/11,Semidec.,122.500
NEOFORT 44 TITAN GARSONIERA ZONA LINISTITA CONDITII LUX,"Bucuresti, Sector 3, zona Titan",o,47.1, 2/11,Dec.,49.238
Tetha Residence 4 | Bloc C1 | Apartament 2 Camere,"Bucuresti, Sector 4, zona Berceni",2,64.4, 2/2,Dec.,84.265
"Apartament 2 Camere, Finisaje Lux, Direct Dezvoltator","Bucuresti, Sector 4, zona Brâncoveanu (Berceni)",2,66, 2/7,Dec.,78.500
"Apartament 2 Camere, Finalizat, acte complete comision 0% - tva 5%inclus","Bucuresti, Sector 4, zona Brâncoveanu (Berceni)",2,57, 1/8,Dec.,72.250
Tetha Residence 4 | Bloc C1 | Apartament 2 Camere,"Bucuresti, Sector 4, zona Berceni",2,53, 1/2,Dec.,68.350
Neofort 45 ap 2 camere decomandat spatios bloc nou Grand Arena Brancoveanu-com0%,"Bucuresti, Sector 4, zona Berceni",2,64.9, 3/4,Dec.,65.335
"NEOFORT 28-AP 3 CAMERE, BLOC NOU, TITAN PALLADY, METROU N.TECLU, COMISION 0%","Bucuresti, Sector 3, zona Titan",3,94.3, 6/8,Dec.,102.000
"Dezvoltator Central: Apartament lux imobil nou 3 camere, finalizare ianuarie 2023","Bucuresti, Sector 1, zona Cismigiu (Ultracentral)",3,87.43, 5/6,Dec.,275.000
Neofort 45 ap 3 camere spatios bloc nou Grand Arena Brancoveanu-comision 0%,"Bucuresti, Sector 4, zona Berceni",3,81.59, 3/4,Dec.,82.099
"Dezvoltator Central: Apartament lux imobil nou 2 camere, finalizare ianuarie 2023","Bucuresti, Sector 1, zona Cismigiu (Ultracentral)",2,62.56, 3/6,Semidec.,199.000
Neofort 50 Titan Bd 1 Decembrie 1918 stradal acces direct Metrou Costin Georgian,"Bucuresti, Sector 3, zona 1 Decembrie 1918 (Titan)",2,56.15, 1/11,Dec.,69.520
"Dezvoltator Apartament 2 Camere Dezvoltator Complex Nou. ACTE FINALIZATE, MUTARE IMEDIATA!","Bucuresti, Sector 4, zona Brancoveanu (Berceni)",2,55.45, 7/8,Dec.,67.000
"NEOFORT 49 LUJERULUI-MILITARI 3 CAMERE- SC FINLANDEZA, INCALZIRE IN PARDOSEALA","Bucuresti, Sector 6, zona Lujerului (Militari)",3,97.65, 2/4,Dec.,141.000
"NEOFORT 28- AP 2 CAMERE TITAN PALLADY, METROU N.TECLU, DIRECT DEZVOLTATOR","Bucuresti, Sector 3, zona Titan",2,53.4, 3/8,Dec.,61.048
OFERTA SARBATORI  APARTAMENT 2 CAMERE  SPATIOS SI FOARTE LUMINOS,"Bucuresti, zona Pipera",2,61, 4/4,Semidec.,89.500
"Dezvoltator APARTAMENT 3 CAMERE-Titan,MOBILAT-UTILAT DE LUX,PARC IN ANSAMBLU","Bucuresti, Sector 3, zona Nicolae Grigorescu (Titan)",3,110, 3/3,Dec.,206.000
Garsonier noua decomandata cu parcare inclusa Sector 4,"Bucuresti, Sector 4, zona Berceni",o,36, 1/6,Dec.,46.000
3 Camere 1 Decembrie Super Pret Titan Parc Teilor Bucatarie Open Space,"Bucuresti, Sector 3, zona Titan",3,80, 4/5,Dec.,88.000
Dezvoltator Garsoniera Decomandata Bulevardul Timisoara Penny Jysk Moinesti,"Bucuresti, Sector 6, zona Militari",o,36, 4/11,Dec.,59.900
Garsoniera decomandata-Militari Residence-Comision 0%,"Bucuresti, Sector 6, zona Militari",o,31, 5/5,Dec.,33.600
Apartament 2 camere open space! Finalizat! Direct dezvoltator! Comision 0%,Chiajna,2,44, 6/7,Dec.,45.900
Garsoniera Iancului-Avrig metrou 3 min-Direct Proprietar,"Bucuresti, zona Obor (Colentina)",o,30, 5/10,Semidec.,55.000
"Apartament 2 camere Bucurestii Noi, parc Bazilescu - Cimision 0","Bucuresti, zona Bucurestii Noi (Bucurestii Noi)",2,45, 2/3,Dec.,97.000
3 Camere / AH Minimalist,"Bucuresti, zona Nicolae Grigorescu (Titan)",3,80,Parter/5,Dec.,100.000
PROPRIETAR VAND/INCHIRIEZ APARTAMENT LUX IN COTROCENI,"Bucuresti, zona Cotroceni",4,186, 2/3,Dec.,660.000
Apartament 3 camere,"Bucuresti, zona Primaverii (Dorobanti)",3,58,Parter/11,Semidec.,130.000
Apartament de excepţie,"Bucuresti, zona Bucurestii Noi",4,137,Parter,Semidec.,192.000
"Drumul Taberei, Parc, et.2, garaj, decomandat, centrala termica, comision 0","Bucuresti, zona Drumul Taberei",3,66, 2/4,Dec.,119.000
Apartament 3 camere Popesti Leordeni Metrou Dimitrie Leonida,"Popesti-Leordeni, zona Central",3,77, 2/4,Dec.,87.500
"Unirii,N.Traian,2 cam,semidec,2/3,47mp,CT,partial mobilat,utilat,boxa,98500 Eur","Bucuresti, zona Unirii",2,47, 2/3,Semidec.,98.500
"Berceni, Pta.Resita, M/5, 3cam, dec, modern, loc parcare, 52500Euro","Bucuresti, zona Brâncoveanu (Berceni)",3,55,Ultimele 2 e/4,Semidec.,52.500
Apartament Lux MALL Vitan,"Bucuresti, Sector 2, zona Vitan Mall (Vitan)",2,128,Parter/6,Dec.,279.000
"3 camere, Petrom City","Bucuresti, zona Dămăroaia (Bucurestii Noi)",3,100, 2/4,Dec.,185.000
Apartament 2 camere Direct Dezvoltator,"Bucuresti, Sector 6, zona Militari",2,40, 5/5,Semidec.,42.700
REA1009428 2 camere Complex SUN ROYAL VIEW - PIATA SUDULUI - Direct Dezvoltator,"Bucuresti, Sector 4, zona Berceni",2,46.01, 2/10,Dec.,77.500
REA1009134 3 camere Complex SUN ROYAL VIEW -Direct dezvoltator,"Bucuresti, Sector 4, zona Berceni",3,89.68, 4/10,Dec.,136.100
APARTAMENT 2 CAMERE DECOMANDAT OFERTA PROMOTIONALA!,"Bucuresti, Sector 6, zona Militari",2,47,Parter/5,Dec.,44.900
Vanzare Garsoniera Decomandata Militari Residence Direct Dezvoltator,"Bucuresti, Sector 6, zona Militari",o,31, 2/5,Dec.,33.700
TVA inclus- 2 cam decomandate + terasa - NOU - 600metri metrou Anghel Saligny,"Bucuresti, Sector 3, zona Theodor Pallady (Titan)",2,63, 2/5,Dec.,74.060
PROMO Cash! 2 camere- incalzire in pardoseala - 7 min Metrou,"Bucuresti, Sector 3, zona Theodor Pallady (Titan)",2,61, 2/7,Dec.,70.400
Dorobanti Capitale - Apartament 4 camere - La Gloire Elite,"Bucuresti, zona Capitale (Dorobanti)",4,210, 1/4,Dec.,1.850.000
Apartament 3 camere cu 110 mp gradina !!! - Metrou Berceni,"Popesti-Leordeni, zona Sud",3,64,Parter/3,Dec.,94.900
