price,priceRounded,priceRange,eur/mp,areaRaw,areaRounded,totalArea,areaRange,rooms,no_of_levels,location
475.00,475,Over 300,1011,470.00,470,800,Over 300mp,7,No data, Sud
147.00,147,140-155k,1089,135.00,135,No data,130-145mp,4,No data, Sud
320.00,320,Over 300,1675,191.00,191,No data,191-210mp,5,No data, Sud
145.00,145,140-155k,1208,120.00,120,No data,112-127mp,4,No data, Sud
95.00,95,69-95k,1462,65.00,65,No data,45-65mp,3,No data,No data
140.00,140,140-155k,1273,110.00,110,No data,90-110mp,3,No data,Central
350.00,350,Over 300,1094,320.00,320,No data,Over 300mp,6,No data,Vest
147.00,147,140-155k,1235,119.00,119,No data,112-127mp,4,No data, Sud
295.00,295,255-295k,1967,150.00,150,No data,150-164mp,5,No data,No data
110.00,110,100-115k,1058,104.00,104,No data,90-110mp,4,No data,Central
129.00,129,128-139k,1122,115.00,115,No data,112-127mp,4,No data, Sud
299.90,300,Over 300,2068,145.00,145,No data,130-145mp,4,No data, Sud
499.00,499,Over 300,1757,284.00,284,No data,273-300mp,6,No data, Sud
295.00,295,255-295k,1967,150.00,150,180,150-164mp,5,No data,No data
249.00,249,200-250k,996,250.00,250,No data,221-250mp,6,P+1E+M,Central
145.00,145,140-155k,1261,115.00,115,360,112-127mp,3,No data,Central
229.00,229,200-250k,1151,199.00,199,No data,191-210mp,5,P+1E, Sud
118.00,118,118-126k,1439,82.00,82,No data,67-85mp,3,P+M,No data
249.00,249,200-250k,1012,246.00,246,No data,221-250mp,6,P+1E+M, Sud
174.90,175,160-175k,1158,151.00,151,No data,150-164mp,4,P+1E, Sud
299.90,300,Over 300,1935,155.00,155,No data,150-164mp,4,P+1E, Sud
229.00,229,200-250k,1431,160.00,160,No data,150-164mp,5,P+1E+M, Sud
160.00,160,160-175k,1280,125.00,125,No data,112-127mp,5,P+1E+M, Sud
145.00,145,140-155k,829,175.00,175,No data,170-190mp,5,P+1E+M, Sud
499.00,499,Over 300,1757,284.00,284,No data,273-300mp,5,P+1E+M, Sud
199.00,199,179-199k,1064,187.00,187,250,170-190mp,5,No data,No data
185.00,185,179-199k,1194,155.00,155,No data,150-164mp,4,P+1E,Nord
105.00,105,100-115k,827,127.00,127,210,112-127mp,4,No data, Sud
145.00,145,140-155k,906,160.00,160,No data,150-164mp,5,P+1E+M, Sud
220.00,220,200-250k,803,274.00,274,No data,273-300mp,6,P+1E+M, Sud
120.00,120,118-126k,857,140.00,140,60,130-145mp,5,No data,Nord
148.00,148,140-155k,1233,120.00,120,35,112-127mp,5,No data, Sud
110.00,110,100-115k,982,112.00,112,No data,112-127mp,4,P+1E, Sud
147.00,147,140-155k,1235,119.00,119,No data,112-127mp,4,P+1E, Sud
130.00,130,128-139k,1182,110.00,110,150,90-110mp,4,No data,Central
246.00,246,200-250k,998,246.54,247,No data,221-250mp,6,No data,No data
235.00,235,200-250k,1741,135.00,135,No data,130-145mp,4,No data, Sud
323.00,323,Over 300,1183,273.00,273,No data,273-300mp,5,No data,Central
105.00,105,100-115k,840,125.00,125,No data,112-127mp,4,No data,Central
295.00,295,255-295k,1561,189.00,189,No data,170-190mp,5,No data, Sud
140.00,140,140-155k,1217,115.00,115,No data,112-127mp,5,No data,No data
160.00,160,160-175k,1067,150.00,150,200,150-164mp,5,No data, Sud
133.00,133,128-139k,971,137.00,137,No data,130-145mp,4,P+1E, Sud
